 set_id | pmt_no | pmt_id |  type  |    x_mm     |    y_mm     | size_mm | rotation_rad | pmt_array  
--------+--------+--------+--------+-------------+-------------+---------+--------------+------------
      1 |      1 |  10200 | R11410 |      285.25 |   -70.58107 |      77 |            0 | BottomMain
      1 |      2 |  10201 | R11410 |       244.5 | -141.162141 |      77 |            0 | BottomMain
      1 |      3 |  10202 | R11410 |      203.75 | -211.743211 |      77 |            0 | BottomMain
      1 |      4 |  10203 | R11410 |      285.25 |    70.58107 |      77 |            0 | BottomMain
      1 |      5 |  10204 | R11410 |       244.5 |           0 |      77 |            0 | BottomMain
      1 |      6 |  10205 | R11410 |      203.75 |   -70.58107 |      77 |            0 | BottomMain
      1 |      7 |  10206 | R11410 |         163 | -141.162141 |      77 |            0 | BottomMain
      1 |      8 |  10207 | R11410 |      122.25 | -211.743211 |      77 |            0 | BottomMain
      1 |      9 |  10300 | R11410 |        81.5 | -282.324282 |      77 |            0 | BottomMain
      1 |     10 |  10301 | R11410 |       244.5 |  141.162141 |      77 |            0 | BottomMain
      1 |     11 |  10302 | R11410 |      203.75 |    70.58107 |      77 |            0 | BottomMain
      1 |     12 |  10303 | R11410 |         163 |           0 |      77 |            0 | BottomMain
      1 |     13 |  10304 | R11410 |      122.25 |   -70.58107 |      77 |            0 | BottomMain
      1 |     14 |  10305 | R11410 |        81.5 | -141.162141 |      77 |            0 | BottomMain
      1 |     15 |  10306 | R11410 |       40.75 | -211.743211 |      77 |            0 | BottomMain
      1 |     16 |  10307 | R11410 |           0 | -282.324282 |      77 |            0 | BottomMain
      1 |     17 |  10400 | R11410 |      203.75 |  211.743211 |      77 |            0 | BottomMain
      1 |     18 |  10401 | R11410 |         163 |  141.162141 |      77 |            0 | BottomMain
      1 |     19 |  10402 | R11410 |      122.25 |    70.58107 |      77 |            0 | BottomMain
      1 |     20 |  10403 | R11410 |        81.5 |           0 |      77 |            0 | BottomMain
      1 |     21 |  10404 | R11410 |       40.75 |   -70.58107 |      77 |            0 | BottomMain
      1 |     22 |  10405 | R11410 |           0 | -141.162141 |      77 |            0 | BottomMain
      1 |     23 |  10406 | R11410 |      -40.75 | -211.743211 |      77 |            0 | BottomMain
      1 |     24 |  10407 | R11410 |       -81.5 | -282.324282 |      77 |            0 | BottomMain
      1 |     25 |  10500 | R11410 |     -203.75 |  211.743211 |      77 |            0 | BottomMain
      1 |     26 |  10501 | R11410 |      -244.5 |  141.162141 |      77 |            0 | BottomMain
      1 |     27 |  10502 | R11410 |     -285.25 |    70.58107 |      77 |            0 | BottomMain
      1 |     28 |  10503 | R11410 |       -81.5 |  282.324282 |      77 |            0 | BottomMain
      1 |     29 |  10504 | R11410 |     -122.25 |  211.743211 |      77 |            0 | BottomMain
      1 |     30 |  10505 | R11410 |        -163 |  141.162141 |      77 |            0 | BottomMain
      1 |     31 |  10506 | R11410 |     -203.75 |    70.58107 |      77 |            0 | BottomMain
      1 |     32 |  10507 | R11410 |      -244.5 |           0 |      77 |            0 | BottomMain
      1 |     33 |  10600 | R11410 |     -285.25 |   -70.58107 |      77 |            0 | BottomMain
      1 |     34 |  10601 | R11410 |           0 |  282.324282 |      77 |            0 | BottomMain
      1 |     35 |  10602 | R11410 |      -40.75 |  211.743211 |      77 |            0 | BottomMain
      1 |     36 |  10603 | R11410 |       -81.5 |  141.162141 |      77 |            0 | BottomMain
      1 |     37 |  10604 | R11410 |     -122.25 |    70.58107 |      77 |            0 | BottomMain
      1 |     38 |  10605 | R11410 |        -163 |           0 |      77 |            0 | BottomMain
      1 |     39 |  10606 | R11410 |     -203.75 |   -70.58107 |      77 |            0 | BottomMain
      1 |     40 |  10607 | R11410 |      -244.5 | -141.162141 |      77 |            0 | BottomMain
      1 |     41 |  10700 | R11410 |        81.5 |  282.324282 |      77 |            0 | BottomMain
      1 |     42 |  10701 | R11410 |       40.75 |  211.743211 |      77 |            0 | BottomMain
      1 |     43 |  10702 | R11410 |           0 |  141.162141 |      77 |            0 | BottomMain
      1 |     44 |  10703 | R11410 |      -40.75 |    70.58107 |      77 |            0 | BottomMain
      1 |     45 |  10704 | R11410 |       -81.5 |           0 |      77 |            0 | BottomMain
      1 |     46 |  10705 | R11410 |     -122.25 |   -70.58107 |      77 |            0 | BottomMain
      1 |     47 |  10706 | R11410 |        -163 | -141.162141 |      77 |            0 | BottomMain
      1 |     48 |  10707 | R11410 |     -203.75 | -211.743211 |      77 |            0 | BottomMain
      1 |     49 |  10800 | R11410 |      122.25 |  211.743211 |      77 |            0 | BottomMain
      1 |     50 |  10801 | R11410 |        81.5 |  141.162141 |      77 |            0 | BottomMain
      1 |     51 |  10802 | R11410 |       40.75 |    70.58107 |      77 |            0 | BottomMain
      1 |     52 |  10803 | R11410 |           0 |           0 |      77 |            0 | BottomMain
      1 |     53 |  10804 | R11410 |      -40.75 |   -70.58107 |      77 |            0 | BottomMain
      1 |     54 |  10805 | R11410 |       -81.5 | -141.162141 |      77 |            0 | BottomMain
      1 |     55 |  10806 | R11410 |     -122.25 | -211.743211 |      77 |            0 | BottomMain
      1 |     56 |  10900 | R11410 |      203.75 |  211.743211 |      77 |            0 | TopMain
      1 |     57 |  10901 | R11410 |       244.5 |  141.162141 |      77 |            0 | TopMain
      1 |     58 |  10902 | R11410 |      285.25 |    70.58107 |      77 |            0 | TopMain
      1 |     59 |  10903 | R11410 |        81.5 |  282.324282 |      77 |            0 | TopMain
      1 |     60 |  10904 | R11410 |      122.25 |  211.743211 |      77 |            0 | TopMain
      1 |     61 |  10905 | R11410 |         163 |  141.162141 |      77 |            0 | TopMain
      1 |     62 |  10906 | R11410 |      203.75 |    70.58107 |      77 |            0 | TopMain
      1 |     63 |  10907 | R11410 |       244.5 |           0 |      77 |            0 | TopMain
      1 |     64 |  11000 | R11410 |      285.25 |   -70.58107 |      77 |            0 | TopMain
      1 |     65 |  11001 | R11410 |           0 |  282.324282 |      77 |            0 | TopMain
      1 |     66 |  11002 | R11410 |       40.75 |  211.743211 |      77 |            0 | TopMain
      1 |     67 |  11003 | R11410 |        81.5 |  141.162141 |      77 |            0 | TopMain
      1 |     68 |  11004 | R11410 |      122.25 |    70.58107 |      77 |            0 | TopMain
      1 |     69 |  11005 | R11410 |         163 |           0 |      77 |            0 | TopMain
      1 |     70 |  11006 | R11410 |      203.75 |   -70.58107 |      77 |            0 | TopMain
      1 |     71 |  11007 | R11410 |       244.5 | -141.162141 |      77 |            0 | TopMain
      1 |     72 |  11100 | R11410 |       -81.5 |  282.324282 |      77 |            0 | TopMain
      1 |     73 |  11101 | R11410 |      -40.75 |  211.743211 |      77 |            0 | TopMain
      1 |     74 |  11102 | R11410 |           0 |  141.162141 |      77 |            0 | TopMain
      1 |     75 |  11103 | R11410 |       40.75 |    70.58107 |      77 |            0 | TopMain
      1 |     76 |  11104 | R11410 |        81.5 |           0 |      77 |            0 | TopMain
      1 |     77 |  11105 | R11410 |      122.25 |   -70.58107 |      77 |            0 | TopMain
      1 |     78 |  11106 | R11410 |         163 | -141.162141 |      77 |            0 | TopMain
      1 |     79 |  11107 | R11410 |      203.75 | -211.743211 |      77 |            0 | TopMain
      1 |     80 |  11200 | R11410 |     -203.75 | -211.743211 |      77 |            0 | TopMain
      1 |     81 |  11201 | R11410 |      -244.5 | -141.162141 |      77 |            0 | TopMain
      1 |     82 |  11202 | R11410 |     -285.25 |   -70.58107 |      77 |            0 | TopMain
      1 |     83 |  11203 | R11410 |       -81.5 | -282.324282 |      77 |            0 | TopMain
      1 |     84 |  11204 | R11410 |     -122.25 | -211.743211 |      77 |            0 | TopMain
      1 |     85 |  11205 | R11410 |        -163 | -141.162141 |      77 |            0 | TopMain
      1 |     86 |  11206 | R11410 |     -203.75 |   -70.58107 |      77 |            0 | TopMain
